version, size, time
1,10,0.000047300
1,10,0.000035800
1,10,0.000056700
1,10,0.000039200
1,10,0.000038500
1,10,0.000037000
1,10,0.000038900
1,10,0.000036200
1,10,0.000038700
1,10,0.000044900
1,10,0.000062900
1,10,0.000050100
1,10,0.000054800
1,100,0.000065200
1,100,0.000067400
1,100,0.000062900
1,100,0.000063300
1,100,0.000074600
1,100,0.000067000
1,100,0.000067600
1,100,0.000068700
1,100,0.000069700
1,100,0.000065800
1,100,0.000063700
1,100,0.000109000
1,100,0.000110500
1,500,0.000186700
1,500,0.000184700
1,500,0.000177500
1,500,0.000191100
1,500,0.000177700
1,500,0.000179500
1,500,0.000195600
1,500,0.000238400
1,500,0.000194900
1,500,0.000181800
1,500,0.000176500
1,500,0.000197300
1,500,0.000190000
1,1000,0.000344800
1,1000,0.000332400
1,1000,0.000567500
1,1000,0.000332800
1,1000,0.000335200
1,1000,0.000331000
1,1000,0.000334800
1,1000,0.000339100
1,1000,0.000482200
1,1000,0.000360800
1,1000,0.000332100
1,1000,0.000334600
1,1000,0.000491100
1,10000,0.003256100
1,10000,0.003536300
1,10000,0.004035400
1,10000,0.003204800
1,10000,0.003229200
1,10000,0.004327100
1,10000,0.003143900
1,10000,0.003830400
1,10000,0.003217800
1,10000,0.003963900
1,10000,0.003557100
1,10000,0.003810700
1,10000,0.003207500
1,50000,0.016766200
1,50000,0.016420700
1,50000,0.022418300
1,50000,0.024040200
1,50000,0.020726900
1,50000,0.019691400
1,50000,0.017452500
1,50000,0.021565500
1,50000,0.021932400
1,50000,0.024079300
1,50000,0.027903000
1,50000,0.018831900
1,50000,0.018869200
1,100000,0.038263400
1,100000,0.034700500
1,100000,0.035010400
1,100000,0.034476900
1,100000,0.036899400
1,100000,0.042798100
1,100000,0.037030800
1,100000,0.034338800
1,100000,0.034434600
1,100000,0.034559400
1,100000,0.033265700
1,100000,0.033197400
1,100000,0.040815000
1,250000,0.089542800
1,250000,0.082698200
1,250000,0.087543600
1,250000,0.085718600
1,250000,0.087120400
1,250000,0.097366000
1,250000,0.088867300
1,250000,0.094250100
1,250000,0.094848100
1,250000,0.084609800
1,250000,0.086304100
1,250000,0.097037500
1,250000,0.082146100
1,500000,0.168064500
1,500000,0.162634900
1,500000,0.165245800
1,500000,0.167685200
1,500000,0.161019900
1,500000,0.164388000
1,500000,0.171631800
1,500000,0.166153400
1,500000,0.163049300
1,500000,0.174507700
1,500000,0.164398800
1,500000,0.161360800
1,500000,0.163684900
1,750000,0.251573000
1,750000,0.251979500
1,750000,0.249454500
1,750000,0.251265900
1,750000,0.278328500
1,750000,0.251663200
1,750000,0.251464300
1,750000,0.254740500
1,750000,0.249734700
1,750000,0.255113100
1,750000,0.251196100
1,750000,0.257654700
1,750000,0.249319900
1,1000000,0.342082700
1,1000000,0.342933000
1,1000000,0.343212500
1,1000000,0.342544800
1,1000000,0.347301700
1,1000000,0.340254400
1,1000000,0.339900500
1,1000000,0.348284100
1,1000000,0.343904300
1,1000000,0.345000700
1,1000000,0.341271000
1,1000000,0.344052800
1,1000000,0.344708100
1,1500000,0.527338500
1,1500000,0.513293700
1,1500000,0.513136300
1,1500000,0.518361900
1,1500000,0.515231100
1,1500000,0.515303400
1,1500000,0.535348600
1,1500000,0.521065200
1,1500000,0.515983600
1,1500000,0.508396400
1,1500000,0.518842100
1,1500000,0.521661500
1,1500000,0.512915800
1,2000000,1.386602200
1,2000000,1.404572500
1,2000000,1.349747000
1,2000000,1.354134400
1,2000000,1.367669000
1,2000000,1.354408000
1,2000000,1.368470200
1,2000000,1.364088900
1,2000000,1.397057400
1,2000000,1.364201400
1,2000000,1.359324300
1,2000000,1.398302200
1,2000000,1.378972000
2,10,0.000040900
2,10,0.000034100
2,10,0.000036200
2,10,0.000036300
2,10,0.000034000
2,10,0.000057100
2,10,0.000034900
2,10,0.000033800
2,10,0.000034500
2,10,0.000034300
2,10,0.000034800
2,10,0.000034300
2,10,0.000035900
2,100,0.000061200
2,100,0.000079200
2,100,0.000063600
2,100,0.000068000
2,100,0.000065200
2,100,0.000103000
2,100,0.000065100
2,100,0.000095100
2,100,0.000069700
2,100,0.000060700
2,100,0.000063700
2,100,0.000061800
2,100,0.000062500
2,500,0.000180700
2,500,0.000177900
2,500,0.000182000
2,500,0.000190000
2,500,0.000196100
2,500,0.000183000
2,500,0.000349700
2,500,0.000181300
2,500,0.000176400
2,500,0.000186100
2,500,0.000201100
2,500,0.000180900
2,500,0.000190900
2,1000,0.000393700
2,1000,0.000361400
2,1000,0.000321400
2,1000,0.000327400
2,1000,0.000325500
2,1000,0.000314700
2,1000,0.000340800
2,1000,0.000329400
2,1000,0.000378100
2,1000,0.000329000
2,1000,0.000416400
2,1000,0.000326700
2,1000,0.000324200
2,10000,0.004242700
2,10000,0.003277400
2,10000,0.003379800
2,10000,0.003307200
2,10000,0.003374600
2,10000,0.003332800
2,10000,0.003210700
2,10000,0.003586600
2,10000,0.003192200
2,10000,0.003668400
2,10000,0.003316400
2,10000,0.003381800
2,10000,0.004937500
2,50000,0.016592000
2,50000,0.016506900
2,50000,0.017061600
2,50000,0.020236500
2,50000,0.015998900
2,50000,0.016017200
2,50000,0.016930400
2,50000,0.019677900
2,50000,0.016699600
2,50000,0.015837700
2,50000,0.016728700
2,50000,0.016242600
2,50000,0.016072400
2,100000,0.034693400
2,100000,0.033550700
2,100000,0.032487200
2,100000,0.032637000
2,100000,0.032288500
2,100000,0.032473000
2,100000,0.032789200
2,100000,0.032397500
